UNITID,EFDELEV,XEFDETOT,EFDETOT,XEFDEEXC,EFDEEXC,XEFDESOM,EFDESOM,XEFDENON,EFDENON,XEFDEEX1,EFDEEX1,XEFDEEX2,EFDEEX2,XEFDEEX3,EFDEEX3,XEFDEEX4,EFDEEX4,XEFDEEX5,EFDEEX5 
169479,11,"R",451,"R",60,"R",18,"R",373,"R",56,"R",2,"R",1,"R",1,"R",0
169479,12,"R",1032,"R",835,"R",149,"R",48,"R",710,"R",94,"R",7,"R",12,"R",12
169503, 1,"R",240,"A",,"A",,"R",240,"A",,"A",,"A",,"A",,"A",
169503, 2,"R",240,"A",,"A",,"R",240,"A",,"A",,"A",,"A",,"A",
169503, 3,"C",240,"A",,"A",,"C",240,"A",,"A",,"A",,"A",,"A",
169521, 1,"R",7054,"R",2259,"R",2370,"R",2425,"R",2252,"R",7,"R",0,"R",0,"R",0
169521, 2,"R",7054,"R",2259,"R",2370,"R",2425,"R",2252,"R",7,"R",0,"R",0,"R",0
169521, 3,"R",5961,"R",1685,"R",2144,"R",2132,"R",1680,"R",5,"R",0,"R",0,"R",0
169521,11,"R",1093,"R",574,"R",226,"R",293,"R",572,"R",2,"R",0,"R",0,"R",0
169576, 1,"R",93,"A",,"A",,"R",93,"A",,"A",,"A",,"A",,"A",
169576, 2,"R",93,"A",,"A",,"R",93,"A",,"A",,"A",,"A",,"A",
169576, 3,"C",93,"A",,"A",,"C",93,"A",,"A",,"A",,"A",,"A",
169655, 1,"R",1441,"R",0,"R",173,"R",1268,"A",,"A",,"A",,"A",,"A",
169655, 2,"R",1441,"R",0,"R",173,"R",1268,"A",,"A",,"A",,"A",,"A",
169655, 3,"R",1441,"R",0,"R",173,"R",1268,"A",,"A",,"A",,"A",,"A",
169716, 1,"R",5227,"R",960,"R",3161,"R",1106,"R",380,"R",61,"R",0,"R",519,"R",0
169716, 2,"R",2924,"R",385,"R",1433,"R",1106,"R",79,"R",3,"R",0,"R",303,"R",0
169716, 3,"R",2385,"R",79,"R",1424,"R",882,"R",69,"R",3,"R",0,"R",7,"R",0
169716,11,"R",539,"R",306,"R",9,"R",224,"R",10,"R",0,"R",0,"R",296,"R",0
169716,12,"R",2303,"R",575,"R",1728,"R",0,"R",301,"R",58,"R",0,"R",216,"R",0
169761, 1,"R",384,"A",,"A",,"R",384,"A",,"A",,"A",,"A",,"A",
169761, 2,"R",384,"A",,"A",,"R",384,"A",,"A",,"A",,"A",,"A",
169761, 3,"R",384,"A",,"A",,"R",384,"A",,"A",,"A",,"A",,"A",
169798, 1,"R",15340,"R",3999,"R",8247,"R",3094,"R",3625,"R",315,"R",13,"R",46,"R",0
169798, 2,"R",12730,"R",2808,"R",7480,"R",2442,"R",2595,"R",190,"R",6,"R",17,"R",0
169798, 3,"R",12344,"R",2713,"R",7311,"R",2320,"R",2517,"R",176,"R",4,"R",16,"R",0
169798,11,"R",386,"R",95,"R",169,"R",122,"R",78,"R",14,"R",2,"R",1,"R",0
169798,12,"R",2610,"R",1191,"R",767,"R",652,"R",1030,"R",125,"R",7,"R",29,"R",0
169813, 1,"R",42,"A",,"A",,"R",42,"A",,"A",,"A",,"A",,"A",
169813, 2,"R",42,"A",,"A",,"R",42,"A",,"A",,"A",,"A",,"A",
169813, 3,"C",42,"A",,"A",,"C",42,"A",,"A",,"A",,"A",,"A",
169910, 1,"R",10361,"R",1780,"R",2983,"R",5598,"R",1630,"R",133,"R",0,"R",17,"R",0
169910, 2,"R",9248,"R",1504,"R",2918,"R",4826,"R",1370,"R",119,"R",0,"R",15,"R",0
169910, 3,"R",8810,"R",1504,"R",2918,"R",4388,"R",1370,"R",119,"R",0,"R",15,"R",0
169910,11,"R",438,"R",0,"R",0,"R",438,"A",,"A",,"A",,"A",,"A",
169910,12,"R",1113,"R",276,"R",65,"R",772,"R",260,"R",14,"R",0,"R",2,"R",0
169974, 1,"R",1068,"R",240,"R",344,"R",484,"R",235,"R",5,"R",0,"R",0,"R",0
169974, 2,"R",1068,"R",240,"R",344,"R",484,"R",235,"R",5,"R",0,"R",0,"R",0
169974, 3,"R",653,"R",189,"R",224,"R",240,"R",185,"R",4,"R",0,"R",0,"R",0
169974,11,"R",415,"R",51,"R",120,"R",244,"R",50,"R",1,"R",0,"R",0,"R",0
